Step,AvgReturn
10000,-82.5623
20000,-91.1415
30000,-95.4299
40000,-85.1314
50000,-57.3021
60000,11.8926
70000,-67.0661
80000,-15.8158
90000,56.6322
100000,-23.1084
110000,28.8315
120000,105.6842
130000,67.2841
140000,54.7255
150000,89.3092
160000,12.447
170000,58.9061
180000,94.8484
190000,191.6234
200000,195.6546
210000,78.0675
220000,171.259
230000,190.7854
240000,119.3052
250000,112.8233
260000,240.3495
270000,121.0734
280000,263.4261
290000,193.5076
300000,124.631
310000,213.946
320000,230.053
330000,254.5336
340000,343.3268
350000,327.4073
360000,374.5292
370000,209.8113
380000,368.9018
390000,432.426
400000,344.487
410000,312.7395
420000,418.5682
430000,399.8972
440000,442.9106
450000,469.5198
460000,430.5684
470000,421.4675
480000,367.6329
490000,416.9203
500000,447.627
510000,449.9947
520000,390.1868
530000,403.7361
540000,352.1341
550000,508.9543
560000,443.1066
570000,366.9361
580000,396.9843
590000,517.2253
600000,484.9552
610000,498.7136
620000,472.2248
630000,487.654
640000,288.9454
650000,327.1392
660000,236.1855
670000,553.3374
680000,512.6168
690000,498.5687
700000,493.0146
710000,494.8784
720000,548.6299
730000,491.3199
740000,603.4878
750000,480.0811
760000,612.2051
770000,431.6282
780000,499.765
790000,397.5415
800000,521.0041
810000,549.1837
820000,716.4468
830000,417.6367
840000,651.2604
850000,610.8465
860000,415.7741
870000,438.3082
880000,317.4029
890000,494.1066
900000,514.3269
910000,405.4879
920000,543.905
930000,441.4055
940000,574.1248
950000,668.1935
960000,594.4326
970000,435.4599
980000,283.1623
990000,718.9559
1000000,635.6648
1010000,662.5259
1020000,644.2092
1030000,515.5418
1040000,685.6449
1050000,789.253
1060000,624.6992
1070000,840.7958
1080000,590.4672
1090000,821.5231
1100000,600.5511
1110000,600.067
1120000,735.6509
1130000,746.0906
1140000,441.2022
1150000,744.8133
1160000,852.2278
1170000,791.0342
1180000,690.3331
1190000,814.8908
1200000,651.0715
1210000,842.2854
1220000,770.485
1230000,814.4737
1240000,609.7858
1250000,754.3261
1260000,847.8076
1270000,828.2007
1280000,855.2849
1290000,872.4855
1300000,835.8636
1310000,715.5327
1320000,858.886
1330000,788.2271
1340000,722.9021
1350000,773.2304
1360000,618.2553
1370000,824.1726
1380000,843.8301
1390000,863.4162
1400000,885.4124
1410000,656.0473
1420000,881.4675
1430000,864.5733
1440000,892.0336
1450000,910.121
1460000,875.3636
1470000,883.9702
1480000,899.0034
1490000,826.773
1500000,863.864
1510000,848.7287
1520000,858.0672
1530000,798.1969
1540000,878.8117
1550000,763.9373
1560000,839.7211
1570000,796.4257
1580000,878.1087
1590000,769.7345
1600000,809.7219
1610000,878.1676
1620000,864.03
1630000,890.7391
1640000,849.1999
1650000,795.1877
1660000,635.0982
1670000,808.5788
1680000,816.8769
1690000,869.1568
1700000,842.456
1710000,657.2034
1720000,791.5072
1730000,820.5924
1740000,894.2082
1750000,870.3706
1760000,860.5825
1770000,854.5076
1780000,803.4908
1790000,881.9245
1800000,843.2317
1810000,770.5902
1820000,798.3163
1830000,869.4779
1840000,770.1917
1850000,815.8502
1860000,826.6829
1870000,820.634
1880000,820.1984
1890000,869.5668
1900000,802.4389
1910000,812.6139
1920000,843.3044
1930000,873.8839
1940000,842.3248
1950000,872.4628
1960000,702.5009
1970000,854.5228
1980000,681.4851
1990000,872.6288
2000000,864.3576
2010000,871.2123
2020000,839.5091
2030000,859.774
2040000,823.7413
2050000,857.2905
2060000,559.6782
2070000,817.7514
2080000,878.066
2090000,882.6343
2100000,863.7292
2110000,866.9792
2120000,832.7976
2130000,847.8854
2140000,772.1971
2150000,670.5576
2160000,830.671
2170000,879.4017
2180000,717.6241
2190000,792.648
2200000,867.9804
2210000,840.6305
2220000,760.1206
2230000,869.2672
2240000,806.4852
2250000,387.9496
2260000,687.1977
2270000,836.2418
2280000,832.9326
2290000,810.8234
2300000,799.2803
2310000,840.6734
2320000,848.848
2330000,854.6597
2340000,857.6502
2350000,580.8841
2360000,659.3404
2370000,827.2855
2380000,540.9769
2390000,828.1104
2400000,745.2767
2410000,785.3418
2420000,871.4109
2430000,677.3775
2440000,811.4712
2450000,834.9582
2460000,847.1358
2470000,787.6948
2480000,879.668
2490000,673.1164
2500000,733.9067
